id,Sentence,NER Tag
0,"['Thousands', 'of', 'demonstrators', 'have', 'marched', 'through', 'London', 'to', 'protest', 'the', 'war', 'in', 'Iraq', 'and', 'demand', 'the', 'withdrawal', 'of', 'British', 'troops', 'from', 'that', 'country', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O']"
1,"['Iranian', 'officials', 'say', 'they', 'expect', 'to', 'get', 'access', 'to', 'sealed', 'sensitive', 'parts', 'of', 'the', 'plant', 'Wednesday', ',', 'after', 'an', 'IAEA', 'surveillance', 'system', 'begins', 'functioning', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O']"
2,"['Helicopter', 'gunships', 'Saturday', 'pounded', 'militant', 'hideouts', 'in', 'the', 'Orakzai', 'tribal', 'region', ',', 'where', 'many', 'Taliban', 'militants', 'are', 'believed', 'to', 'have', 'fled', 'to', 'avoid', 'an', 'earlier', 'military', 'offensive', 'in', 'nearby', 'South', 'Waziristan', '.']","['O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']"
3,"['They', 'left', 'after', 'a', 'tense', 'hour-long', 'standoff', 'with', 'riot', 'police', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4,"['U.N.', 'relief', 'coordinator', 'Jan', 'Egeland', 'said', 'Sunday', ',', 'U.S.', ',', 'Indonesian', 'and', 'Australian', 'military', 'helicopters', 'are', 'ferrying', 'out', 'food', 'and', 'supplies', 'to', 'remote', 'areas', 'of', 'western', 'Aceh', 'province', 'that', 'ground', 'crews', 'can', 'not', 'reach', '.']","['B-geo', 'O', 'O', 'B-per', 'I-per', 'O', 'B-tim', 'O', 'B-geo', 'O', 'B-gpe', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,"['Mr.', 'Egeland', 'said', 'the', 'latest', 'figures', 'show', '1.8', 'million', 'people', 'are', 'in', 'need', 'of', 'food', 'assistance', '-', 'with', 'the', 'need', 'greatest', 'in', 'Indonesia', ',', 'Sri', 'Lanka', ',', 'the', 'Maldives', 'and', 'India', '.']","['B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'B-per', 'B-gpe', 'O', 'O', 'B-geo', 'O', 'B-geo', 'O']"
6,"['He', 'said', 'last', 'week', ""'s"", 'tsunami', 'and', 'the', 'massive', 'underwater', 'earthquake', 'that', 'triggered', 'it', 'has', 'affected', 'millions', 'in', 'Asia', 'and', 'Africa', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-geo', 'O']"
7,"['Some', '1,27,000', 'people', 'are', 'known', 'dead', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,"['Aid', 'is', 'being', 'rushed', 'to', 'the', 'region', ',', 'but', 'the', 'U.N.', 'official', 'stressed', 'that', 'bottlenecks', 'and', 'a', 'lack', 'of', 'infrastructure', 'remain', 'a', 'challenge', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
9,"['Lebanese', 'politicians', 'are', 'condemning', 'Friday', ""'s"", 'bomb', 'blast', 'in', 'a', 'Christian', 'neighborhood', 'of', 'Beirut', 'as', 'an', 'attempt', 'to', 'sow', 'sectarian', 'strife', 'in', 'the', 'formerly', 'war-torn', 'country', '.']","['B-gpe', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
10,"['In', 'Beirut', ',', 'a', 'string', 'of', 'officials', 'voiced', 'their', 'anger', ',', 'while', 'at', 'the', 'United', 'Nations', 'summit', 'in', 'New', 'York', ',', 'Prime', 'Minister', 'Fouad', 'Siniora', 'said', 'the', 'Lebanese', 'people', 'are', 'resolute', 'in', 'preventing', 'such', 'attempts', 'from', 'destroying', 'their', 'spirit', '.']","['O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'O', 'B-geo', 'I-geo', 'O', 'B-per', 'O', 'B-per', 'I-per', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
11,"['One', 'person', 'was', 'killed', 'and', 'more', 'than', '20', 'others', 'injured', 'in', 'the', 'bomb', 'blast', 'late', 'Friday', ',', 'which', 'took', 'place', 'on', 'a', 'residential', 'street', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
12,"['Lebanon', 'has', 'suffered', 'a', 'series', 'of', 'bombings', 'since', 'the', 'massive', 'explosion', 'in', 'February', 'that', 'killed', 'former', 'Prime', 'Minister', 'Rafik', 'Hariri', 'and', '20', 'other', 'people', '.']","['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'B-per', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O']"
13,"['Syria', 'is', 'widely', 'accused', 'of', 'involvement', 'in', 'his', 'killing', ',', 'and', 'Friday', ""'s"", 'explosion', 'comes', 'days', 'before', 'U.N.', 'investigator', 'Detlev', 'Mehlis', 'is', 'to', 'return', 'to', 'Damascus', 'to', 'interview', 'several', 'Syrian', 'officials', 'about', 'the', 'assassination', '.']","['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O']"
14,"['The', 'global', 'financial', 'crisis', 'has', 'left', 'Iceland', ""'s"", 'economy', 'in', 'shambles', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O']"
15,"['Israeli', 'officials', 'say', 'Prime', 'Minister', 'Ariel', 'Sharon', 'will', 'undergo', 'a', 'medical', 'procedure', 'Thursday', 'to', 'close', 'a', 'tiny', 'hole', 'in', 'his', 'heart', 'discovered', 'during', 'treatment', 'for', 'a', 'minor', 'stroke', 'suffered', 'last', 'month', '.']","['B-gpe', 'O', 'O', 'B-per', 'I-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
16,"['Doctors', 'describe', 'the', 'tiny', 'hole', 'as', 'a', 'minor', 'birth', 'defect', 'and', 'say', 'it', 'is', 'in', 'the', 'partition', 'between', 'the', 'upper', 'chambers', 'of', 'Mr.', 'Sharon', ""'s"", 'heart', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O']"
17,"['The', 'procedure', ',', 'known', 'as', 'cardiac', 'catheterization', ',', 'involves', 'inserting', 'a', 'catheter', 'through', 'a', 'blood', 'vessel', 'into', 'the', 'heart', ',', 'where', 'an', 'umbrella-like', 'device', 'will', 'plug', 'the', 'hole', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
